Circle,Day,700 Mhz,800 Mhz,900 Mhz,1800 Mhz,2100 Mhz,2300 Mhz,2500 Mhz,,700 Mhzr,800 Mhzr,900 Mhzr,1800 Mhzr,2100 Mhzr,2300 Mhzr,2500 Mhzr
MP,4,0,0,0,16.6,0,82,80,,1655,5100,0,16.6,615,80,80
Maharashtra,4,0,0,0,63.6,1705,630.61,580,,6360,998.75,0,63.6,1705,580,580
Mumbai,4,0,0,0,93.13,0,1460,1460,,5960,908.75,0,59.6,2305,1460,1460
North East,4,0,0,0,2.2,0,10,10,,220,0,0,2.2,60,10,10
Odisha,4,0,0,0,0,190,40,0,,760,71.25,0,7.6,190,40,40
Punjab,4,0,161,0,15.4,455,0,210,,1540,148.75,0,15.4,455,0,210
Rajasthan,4,0,285.7,0,18.38,700,0,60,,1820,255,0,18.2,700,0,60
Tamil Nadu. Chennai,4,0,0,0,0,1720,1320,0,,4500,450,0,0,1720,1320,1320
UP(E),4,0,273.75,0,25.61,550,0,90,,2295,2773.75,155.2,23,550,0,90
UP(W),4,0,0,0,20.06,0,0,120,,1920,227.5,147.8,19.2,555,0,120
"WB, A&N",4,0,0,0,9.2,0,50,50,,915,102.5,0,9.2,260,50,50
Andhra Pradesh,5,0,0,0,48.6,0,683.4,680,,4855,757.5,0,48.6,1360,680,680
Assam,5,0,0,0,8,0,20,20,,790,0,0,8,230,20,20
Bihar,5,0,0,0,12.4,430,61.5,60,,1240,170,88.8,12.4,430,60,60
Delhi,5,0,0,0,79.8,2770,1430,1430,,7975,1060,134.6,79.8,2770,1430,1430
Gujarat,5,0,419.31,0,47.6,0,611.88,390,,4760,356.25,0,47.6,1290,390,390
Haryana,5,0,0,0,9.86,275,0,80,,930,71.25,0,9.4,275,0,80
Himachal Pradesh,5,0,0,0,3.2,0,10,10,,320,30,0,3.2,100,10,10
J&K,5,0,0,0,2.6,55,0,10,,260,0,0,2.6,55,0,10
Karnataka,5,0,0,0,0,0,980,0,,3700,378.75,0,37,1640,980,980
Kerala,5,0,0,0,16.6,885,175.67,160.8,,1670,303.75,0,16.6,885,160,160
Kolkata,5,0,0,0,30.23,0,330,330,,2980,200,0,29.8,580,330,330
MP,5,0,0,0,16.6,0,82,80,,1655,5100,0,16.6,615,80,80
Maharashtra,5,0,0,0,63.6,1705,630.61,580,,6360,998.75,0,63.6,1705,580,580
Mumbai,5,0,0,0,97.84,2305,1460,1460,,5960,908.75,0,59.6,2305,1460,1460
North East,5,0,0,0,2.2,0,10,10,,220,0,0,2.2,60,10,10
Odisha,5,0,0,0,0,190,40,40,,760,71.25,0,7.6,190,40,40
Punjab,5,0,170.86,0,15.4,455,0,210,,1540,148.75,0,15.4,455,0,210
Rajasthan,5,0,289.98,0,18.38,700,0,60,,1820,255,0,18.2,700,0,60
Tamil Nadu. Chennai,5,0,0,0,0,1720,1320,0,,4500,450,0,0,1720,1320,1320
UP(E),5,0,273.75,0,26.63,550,0,90,,2295,2773.75,155.2,23,550,0,90
UP(W),5,0,0,0,20.06,0,0,120,,1920,227.5,147.8,19.2,555,0,120
"WB, A&N",5,0,0,0,9.2,0,50,50,,915,102.5,0,9.2,260,50,50
